waardelijst,variabele,waardecode,waardeomschrijving
uitslag punctie,tt_punctie_uitslag,9,onbekend
Indeling naar ja en nee,cci_aids,0,Nee
Indeling naar ja en nee,cci_aids,1,Ja
Number of categories according to the Charlson Comorbidity Index,cci_cat,0,0 categorieën
Number of categories according to the Charlson Comorbidity Index,cci_cat,1,1 categorie
Number of categories according to the Charlson Comorbidity Index,cci_cat,2,2 of meer categorieën
Indeling naar ja en nee,cci_chf,0,Nee
Indeling naar ja en nee,cci_chf,1,Ja
Indeling naar ja en nee,cci_collagenosis,0,Nee
Indeling naar ja en nee,cci_collagenosis,1,Ja
Indeling naar ja en nee,cci_copd,0,Nee
Indeling naar ja en nee,cci_copd,1,Ja
Indeling naar ja en nee,cci_cvd,0,Nee
Indeling naar ja en nee,cci_cvd,1,Ja
Indeling naar ja en nee,cci_dementia,0,Nee
Indeling naar ja en nee,cci_dementia,1,Ja
Indeling naar ja en nee,cci_dm,0,Nee
Indeling naar ja en nee,cci_dm,1,Ja
Indeling naar ja en nee,cci_eod_dm,0,Nee
Indeling naar ja en nee,cci_eod_dm,1,Ja
Indeling naar ja en nee,cci_mild_liver,0,Nee
Indeling naar ja en nee,cci_mild_liver,1,Ja
Indeling naar ja en nee,cci_severe_liver,0,Nee
Indeling naar ja en nee,cci_severe_liver,1,Ja
Indeling naar ja en nee,cci_malignancy,0,Nee
Indeling naar ja en nee,cci_malignancy,1,Ja
Indeling naar ja en nee,cci_metastatic,0,Nee
Indeling naar ja en nee,cci_metastatic,1,Ja
Indeling naar ja en nee,cci_mi,0,Nee
Indeling naar ja en nee,cci_mi,1,Ja
Indeling naar ja en nee,cci_plegia,0,Nee
Indeling naar ja en nee,cci_plegia,1,Ja
Indeling naar ja en nee,cci_pvd,0,Nee
Indeling naar ja en nee,cci_pvd,1,Ja
Indeling naar ja en nee,cci_renal,0,Nee
Indeling naar ja en nee,cci_renal,1,Ja
Indeling naar ja en nee,cci_ulcer,0,Nee
Indeling naar ja en nee,cci_ulcer,1,Ja
Type van chemotherapie long,chemo_type[1-6],1,Platinumbevattend
Type van chemotherapie long,chemo_type[1-6],2,Taxaanbevattend
Type van chemotherapie long,chemo_type[1-6],3,Platinum- en taxaanbevattend
Type van chemotherapie long,chemo_type[1-6],4,Overig
Type van chemotherapie long,chemo_type[1-6],9,Onbekend/NNO
Indeling naar ja en nee,chir,0,Nee
Indeling naar ja en nee,chir,1,Ja
gebeurtenis,chir_code[1-3],100000,Chirurgie nno
gebeurtenis,chir_code[1-3],131C34,Wigexcisie long
gebeurtenis,chir_code[1-3],132C34,Segmentresectie long
gebeurtenis,chir_code[1-3],133C34,Bisegmentresectie long
gebeurtenis,chir_code[1-3],134C34,Lobectomie long
gebeurtenis,chir_code[1-3],135C34,Bilobectomie
gebeurtenis,chir_code[1-3],136C34,'Sleeve' lobectomie (bronchoplastiek/bronchoplastische procedure)
gebeurtenis,chir_code[1-3],140C34,Pneumonectomie
gebeurtenis,chir_code[1-3],152C34,Carinaresectie
Radicaliteit,chir_rad[1-3],0,microscopische radicale resectie
Radicaliteit,chir_rad[1-3],1,microscopische irradicale resectie
Radicaliteit,chir_rad[1-3],2,macroscopisch irradicale resectie
Radicaliteit,chir_rad[1-3],9,onbekend
chirurgische techniek,chir_tech[1-3],0,open chirurgie
chirurgische techniek,chir_tech[1-3],1,"conventioneel scopisch, geen conversie"
chirurgische techniek,chir_tech[1-3],11,"conventioneel scopisch, nno"
chirurgische techniek,chir_tech[1-3],2,"conventioneel scopisch, met conversie"
chirurgische techniek,chir_tech[1-3],21,"scopisch, geen conversie"
chirurgische techniek,chir_tech[1-3],22,"scopisch, met conversie"
chirurgische techniek,chir_tech[1-3],23,"scopisch, nno"
chirurgische techniek,chir_tech[1-3],3,"robot-geassisteerd, geen conversie"
chirurgische techniek,chir_tech[1-3],31,"robot-geassisteerd, nno"
chirurgische techniek,chir_tech[1-3],4,"robot-geassisteerd, met conversie"
chirurgische techniek,chir_tech[1-3],9,onbekend
Instelling,chir_zkh[1-3],100,*Medisch Centrum Alkmaar
Instelling,chir_zkh[1-3],246,Medisch Centrum Leeuwarden
Instelling,chir_zkh[1-3],269,Medisch Spectrum Twente
Instelling,chir_zkh[1-3],282,Martini Ziekenhuis
Instelling,chir_zkh[1-3],297,Amphia
Instelling,chir_zkh[1-3],299,Jeroen Bosch Ziekenhuis
Instelling,chir_zkh[1-3],301,Bravis ziekenhuis
Instelling,chir_zkh[1-3],316,Antoni van Leeuwenhoek
reden geen behandeling,geen_syst_ther_reden,1,co-morbiditeit
reden geen behandeling,geen_syst_ther_reden,11,co-morbiditeit en/of performance/functionele status of aanwezigheid andere tumor
reden geen behandeling,geen_syst_ther_reden,12,(verwachte) snelle progressie of overlijden of hoge tumorload
reden geen behandeling,geen_syst_ther_reden,13,wens/weigering patiënt/familie
reden geen behandeling,geen_syst_ther_reden,14,geringe tumorload/weinig klachten
reden geen behandeling,geen_syst_ther_reden,2,functionele status/conditie patiënt
reden geen behandeling,geen_syst_ther_reden,6,wens/weigering patiënt/familie
reden geen behandeling,geen_syst_ther_reden,7,hoge tumorload/te uitgebreide ziekte/progressie
reden geen behandeling,geen_syst_ther_reden,8,anders (bij opmerkingen vermelden)
reden geen behandeling,geen_syst_ther_reden,9,onbekend
Type therapie naar pre- en postchirurgisch ingedeeld,immuno,0,Nee
Type therapie naar pre- en postchirurgisch ingedeeld,immuno,1,"Ja, alleen prechirurgisch"
Type therapie naar pre- en postchirurgisch ingedeeld,immuno,2,"Ja, alleen postchirurgisch"
Type therapie naar pre- en postchirurgisch ingedeeld,immuno,3,"Ja, pre en postchirurgisch"
Type therapie naar pre- en postchirurgisch ingedeeld,immuno,4,"Ja, geen chirurgie"
Type therapie naar pre- en postchirurgisch ingedeeld,mut_target,0,Nee
Type therapie naar pre- en postchirurgisch ingedeeld,mut_target,1,"Ja, alleen prechirurgisch"
Type therapie naar pre- en postchirurgisch ingedeeld,mut_target,2,"Ja, alleen postchirurgisch"
Type therapie naar pre- en postchirurgisch ingedeeld,mut_target,3,"Ja, pre en postchirurgisch"
Type therapie naar pre- en postchirurgisch ingedeeld,mut_target,4,"Ja, geen chirurgie"
